filename,score_1,score_2,bingo_1,bingo_2,percent_dif
fifty192.gcg,8300,9550,0,3,14.005602240896359
fifty16.gcg,9900,8750,1,0,12.332439678284182
fifty145.gcg,7900,10950,0,0,32.360742705570296
fifty151.gcg,9050,7800,1,0,14.836795252225517
fifty179.gcg,9150,7850,1,0,15.294117647058824
fifty28.gcg,8800,9450,1,0,7.123287671232877
fifty147.gcg,10500,6950,1,0,40.68767908309456
fifty14.gcg,8850,8250,0,0,7.017543859649122
fifty153.gcg,8800,9950,0,0,12.266666666666666
fifty184.gcg,9450,9650,0,0,2.094240837696335
fifty190.gcg,10000,8550,0,0,15.633423180592992
fifty219.gcg,8950,7750,0,0,14.37125748502994
fifty231.gcg,8450,10500,0,0,21.63588390501319
fifty225.gcg,9350,9400,0,0,0.5333333333333333
fifty224.gcg,7550,10800,1,0,35.42234332425068
fifty230.gcg,10100,7650,0,0,27.605633802816904
fifty218.gcg,7850,8950,1,0,13.095238095238097
fifty191.gcg,8800,8400,0,0,4.651162790697675
fifty185.gcg,8100,9650,0,1,17.464788732394364
fifty152.gcg,8350,9650,0,0,14.444444444444443
fifty15.gcg,9900,7850,1,0,23.098591549295776
fifty146.gcg,9350,10500,1,2,11.586901763224182
fifty29.gcg,8000,8700,0,0,8.383233532934131
fifty0.gcg,9100,10000,0,0,9.424083769633508
fifty121.gcg,9200,8800,1,0,4.444444444444445
fifty72.gcg,10800,7950,1,0,30.4
fifty135.gcg,9400,9250,0,0,1.6085790884718498
fifty66.gcg,10300,8200,0,0,22.702702702702705
fifty109.gcg,9500,8700,0,0,8.791208791208792
fifty99.gcg,8600,9000,1,1,4.545454545454546
fifty257.gcg,10450,8700,2,0,18.27676240208877
fifty243.gcg,8700,8950,0,1,2.8328611898017
fifty294.gcg,10300,9350,1,2,9.669211195928753
fifty280.gcg,8850,8100,0,1,8.849557522123893
fifty281.gcg,8500,8600,1,0,1.1695906432748537
fifty295.gcg,8450,8750,1,1,3.488372093023256
fifty242.gcg,11100,7150,0,1,43.28767123287671
fifty256.gcg,9250,7950,0,0,15.11627906976744
fifty98.gcg,8750,8500,1,0,2.898550724637681
fifty108.gcg,10750,7000,3,0,42.25352112676056
fifty67.gcg,9250,8250,1,0,11.428571428571429
fifty134.gcg,8700,9150,0,0,5.042016806722689
fifty73.gcg,8500,8800,0,1,3.4682080924855487
fifty120.gcg,12100,8300,1,0,37.254901960784316
fifty1.gcg,9250,9600,0,1,3.7135278514588856
fifty3.gcg,9250,7900,0,1,15.743440233236154
fifty136.gcg,9900,7800,1,0,23.728813559322035
fifty65.gcg,10100,8500,0,0,17.20430107526882
fifty122.gcg,9050,9950,1,1,9.473684210526317
fifty71.gcg,9250,9450,0,1,2.13903743315508
fifty59.gcg,9500,8750,2,0,8.21917808219178
fifty240.gcg,10200,9000,0,0,12.5
fifty254.gcg,9750,8300,0,0,16.06648199445983
fifty268.gcg,9700,8400,0,2,14.3646408839779
