file,s1,s2,b1,b2,percDif
random1340.gcg,587,619,0,1,5.306799336650083
random164.gcg,692,520,1,0,28.38283828382838
random68.gcg,673,588,1,0,13.481363996827914
random399.gcg,663,654,1,2,1.366742596810934
random54.gcg,600,655,1,2,8.764940239043826
random1195.gcg,650,659,1,2,1.3750954927425516
random1181.gcg,629,545,0,1,14.310051107325384
random40.gcg,703,458,2,0,42.204995693367785
random428.gcg,657,666,2,2,1.3605442176870748
random414.gcg,641,590,1,0,8.285946385052803
random1156.gcg,579,654,1,1,12.165450121654501
random372.gcg,595,599,2,0,0.6700167504187605
random97.gcg,731,532,3,1,31.512272367379257
random366.gcg,643,621,0,2,3.481012658227848
random83.gcg,492,736,0,2,39.73941368078176
random1142.gcg,707,610,1,1,14.730447987851178
random400.gcg,684,599,2,2,13.250194855806702
random1143.gcg,674,470,2,0,35.66433566433567
random82.gcg,640,542,2,0,16.58206429780034
random367.gcg,557,677,0,2,19.448946515397083
random401.gcg,629,736,2,2,15.677655677655677
random415.gcg,549,766,1,2,33.00380228136882
random96.gcg,728,656,2,1,10.404624277456648
random373.gcg,667,594,2,2,11.578112609040444
random1157.gcg,610,658,0,1,7.570977917981073
random429.gcg,651,595,2,1,8.98876404494382
random41.gcg,731,504,2,0,36.76113360323887
random1180.gcg,578,659,2,0,13.096200485044463
random1194.gcg,542,613,0,0,12.294372294372295
random55.gcg,652,520,1,1,22.525597269624573
random398.gcg,792,605,4,1,26.77165354330709
random69.gcg,673,569,1,2,16.74718196457327
random1427.gcg,694,555,1,0,22.257806244995997
random603.gcg,624,631,0,0,1.1155378486055778
random165.gcg,623,553,1,0,11.904761904761903
random1341.gcg,717,583,1,2,20.615384615384617
random1355.gcg,673,762,1,3,12.40418118466899
random171.gcg,725,654,4,1,10.297316896301668
random617.gcg,644,844,0,2,26.881720430107524
random1433.gcg,685,641,2,2,6.636500754147813
random159.gcg,588,701,0,1,17.53297129557797
random1369.gcg,653,592,1,1,9.799196787148594
random818.gcg,755,517,2,0,37.42138364779874
random1382.gcg,665,631,0,1,5.246913580246913
random1396.gcg,604,659,1,2,8.709422011084719
random824.gcg,756,513,3,1,38.297872340425535
random830.gcg,651,571,2,1,13.093289689034371
random777.gcg,585,619,0,1,5.647840531561462
random1235.gcg,630,678,0,2,7.339449541284404
random1221.gcg,665,558,1,0,17.497955846279638
random763.gcg,675,594,1,2,12.76595744680851
random993.gcg,620,674,0,3,8.346213292117465
random1209.gcg,538,721,0,2,29.070691024622718
random987.gcg,568,584,1,2,2.7777777777777777
random978.gcg,484,699,0,2,36.34826711749788
random8.gcg,544,618,0,1,12.736660929432015
random950.gcg,587,681,1,2,14.826498422712934
random788.gcg,654,549,2,1,17.45635910224439
random944.gcg,562,724,0,4,25.194401244167963
random1037.gcg,604,622,1,1,2.936378466557912
random213.gcg,702,540,2,1,26.08695652173913
random575.gcg,736,471,2,1,43.910521955260975
random561.gcg,556,683,1,1,20.500403551251008
random207.gcg,925,613,4,1,40.572171651495445
random1023.gcg,596,730,1,1,20.211161387631975
random549.gcg,539,602,0,0,11.042944785276074
random588.gcg,609,680,1,3,11.016291698991466
random1009.gcg,568,617,0,1,8.270042194092827
random239.gcg,621,594,3,1,4.444444444444445
random577.gcg,659,582,1,1,12.409347300564061
random211.gcg,758,578,3,2,26.94610778443114
random1035.gcg,672,646,2,2,3.9453717754172986
random1021.gcg,660,631,2,2,4.492641363284275
random205.gcg,695,575,1,1,18.89763779527559
random563.gcg,610,582,1,0,4.697986577181208
random952.gcg,726,548,1,0,27.94348508634223
random946.gcg,709,515,0,0,31.699346405228756
random991.gcg,609,690,1,1,12.471131639722865
random749.gcg,652,508,1,0,24.82758620689655
random985.gcg,538,778,1,5,36.474164133738604
random1237.gcg,604,605,1,1,0.1654259718775848
random775.gcg,602,625,1,0,3.7489812550937245
random761.gcg,504,638,0,0,23.46760070052539
random1223.gcg,687,751,2,1,8.90125173852573
random198.gcg,735,536,2,0,31.31392604248623
random826.gcg,792,438,3,0,57.56097560975609
random832.gcg,540,670,0,1,21.487603305785125
random1380.gcg,531,727,1,3,31.160572337042925
random1394.gcg,803,567,4,1,34.45255474452555
random1419.gcg,555,797,1,4,35.798816568047336
random629.gcg,574,708,0,2,20.904836193447736
random1343.gcg,672,616,0,1,8.695652173913043
random167.gcg,524,607,0,0,14.677276746242264
random601.gcg,717,666,2,2,7.37527114967462
random1425.gcg,598,702,1,1,16.0
random1431.gcg,538,592,0,2,9.557522123893806
random615.gcg,781,505,2,0,42.92379471228615
random173.gcg,540,552,0,0,2.197802197802198
random1357.gcg,625,601,0,0,3.915171288743882
random1182.gcg,736,526,3,0,33.28050713153724
random43.gcg,586,654,0,1,10.967741935483872
random57.gcg,689,620,2,2,10.542398777692895
random1196.gcg,487,883,1,3,57.81021897810219
random359.gcg,665,467,0,0,34.98233215547703
random1169.gcg,712,524,1,0,30.42071197411003
random403.gcg,644,693,1,2,7.329842931937172
random365.gcg,765,600,2,0,24.175824175824175
random80.gcg,579,711,0,2,20.46511627906977
random1141.gcg,749,667,2,2,11.581920903954803
random1155.gcg,573,618,0,1,7.5566750629722925
random371.gcg,617,660,1,2,6.734534064212999
random94.gcg,674,589,0,1,13.460015835312747
random417.gcg,570,689,1,2,18.903891977760125
random95.gcg,640,514,1,1,21.837088388214905
random370.gcg,479,804,1,1,50.66250974279034
random1154.gcg,614,604,0,1,1.6420361247947455
random416.gcg,717,634,2,1,12.28719467061436
random402.gcg,593,625,1,1,5.254515599343185
random1140.gcg,620,624,2,1,0.6430868167202572
random81.gcg,717,727,1,3,1.3850415512465373
random364.gcg,694,647,2,2,7.009694258016405
random1168.gcg,683,611,2,0,11.128284389489954
random358.gcg,680,612,0,2,10.526315789473683
random1197.gcg,843,456,4,1,59.58429561200924
random56.gcg,495,625,0,2,23.214285714285715
random42.gcg,611,645,1,2,5.414012738853503
random1183.gcg,670,563,0,1,17.35604217356042
random614.gcg,581,533,0,0,8.617594254937163
